1d,224,224,32,2,2,150.584,64
1d,224,224,64,2,2,51.3458,64
1d,224,224,16,2,3,128.077,96
1d,224,224,32,2,3,170.852,96
1d,224,224,64,2,3,68.8332,96
1d,224,224,16,2,4,127.323,128
1d,224,224,32,2,4,171.964,128
1d,224,224,64,2,4,73.6544,128
1d,224,224,16,2,6,88.8306,192
1d,224,224,32,2,6,105.442,192
1d,224,224,64,2,6,77.5041,192
1d,224,224,16,7,8,399.394,256
1d,224,224,32,7,8,405.758,256
1d,224,224,64,7,8,389.069,256
1d,224,224,16,14,16,269.067,512
1d,224,224,32,14,16,286.128,512
1d,224,224,64,14,16,298.145,512
